income,employment,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
0,not in labor force,NA,white,65,male,yes,NA,english,yes,college,no,oct thru dec
0,not in labor force,NA,black,18,female,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,4,male,yes,NA,NA,no,hs or lower,no,jul thru sep
NA,NA,NA,white,14,female,yes,NA,english,no,hs or lower,no,jul thru sep
NA,NA,NA,white,6,female,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,33,female,no,NA,other,no,hs or lower,no,jul thru sep
70000,employed,50,white,37,male,yes,30,english,yes,college,no,jan thru mar
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,2,male,yes,NA,NA,no,NA,no,oct thru dec
15000,employed,20,white,64,female,yes,15,english,yes,grad,no,oct thru dec
NA,NA,NA,white,13,female,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,2,male,yes,NA,NA,no,NA,no,jan thru mar
6500,employed,10,white,22,male,yes,15,english,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,black,61,male,yes,NA,english,no,hs or lower,yes,oct thru dec
0,not in labor force,NA,white,70,female,yes,NA,english,no,hs or lower,yes,oct thru dec
0,not in labor force,NA,white,65,female,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,black,27,male,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,black,56,female,yes,NA,english,no,hs or lower,yes,oct thru dec
NA,NA,NA,white,7,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,77,female,yes,NA,english,yes,grad,no,oct thru dec
0,not in labor force,NA,black,30,male,yes,NA,english,no,hs or lower,no,oct thru dec
1200,unemployed,25,white,31,male,yes,NA,english,no,hs or lower,no,jan thru mar
5000,not in labor force,20,asian,44,female,yes,NA,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,77,female,yes,NA,english,yes,grad,no,jan thru mar
60000,employed,40,black,50,male,yes,25,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,63,male,yes,NA,english,no,grad,no,apr thru jun
0,not in labor force,NA,white,74,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,employed,50,white,54,male,yes,NA,english,yes,hs or lower,no,apr thru jun
33000,employed,45,white,28,female,yes,45,english,no,college,no,jan thru mar
60000,employed,50,white,56,male,yes,3,english,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,white,36,male,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,11,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,68,male,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,3,female,yes,NA,NA,no,hs or lower,no,apr thru jun
31000,employed,38,white,62,female,yes,30,english,yes,hs or lower,yes,jul thru sep
35000,employed,40,white,50,female,yes,30,other,yes,hs or lower,no,oct thru dec
70000,employed,50,white,38,male,yes,NA,english,yes,grad,no,jul thru sep
NA,NA,NA,black,9,male,yes,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,other,20,female,yes,NA,other,no,hs or lower,yes,jan thru mar
42000,employed,40,white,50,female,yes,NA,english,yes,hs or lower,no,jul thru sep
8000,unemployed,35,white,43,female,yes,NA,english,yes,hs or lower,no,jul thru sep
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,jan thru mar
18000,employed,50,asian,50,male,no,99,other,yes,hs or lower,no,jan thru mar
0,employed,50,white,46,female,yes,2,english,yes,grad,no,jul thru sep
NA,NA,NA,white,7,female,yes,NA,other,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,36,female,yes,NA,english,no,hs or lower,no,apr thru jun
10800,employed,29,white,41,female,yes,20,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,71,female,yes,NA,english,no,grad,yes,oct thru dec
2000,employed,10,white,16,male,yes,5,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,65,female,yes,NA,english,yes,hs or lower,no,oct thru dec
32000,employed,45,white,53,male,yes,15,english,yes,hs or lower,no,apr thru jun
60000,employed,40,white,48,male,yes,25,english,yes,hs or lower,no,apr thru jun
NA,NA,NA,white,9,male,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,12,male,yes,NA,english,no,hs or lower,no,jul thru sep
NA,NA,NA,white,13,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,79,female,yes,NA,english,no,hs or lower,no,apr thru jun
9000,employed,42,white,48,female,yes,20,english,no,hs or lower,no,apr thru jun
3000,employed,20,white,33,female,yes,NA,english,no,hs or lower,no,jul thru sep
37000,employed,60,white,26,female,yes,NA,english,yes,college,no,oct thru dec
0,not in labor force,NA,black,78,male,yes,NA,english,no,hs or lower,yes,oct thru dec
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,NA,NA,white,15,female,yes,NA,other,no,hs or lower,no,apr thru jun
12800,employed,25,white,22,male,yes,15,english,no,college,no,jul thru sep
1500,unemployed,24,white,44,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,16,female,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,43,female,yes,NA,english,yes,college,no,jan thru mar
1200,not in labor force,20,white,21,female,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,58,female,yes,NA,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,67,male,yes,NA,english,yes,hs or lower,no,oct thru dec
1200,employed,5,white,25,male,yes,30,english,yes,college,no,jan thru mar
0,not in labor force,NA,white,65,female,yes,NA,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,93,male,yes,NA,english,no,grad,no,apr thru jun
33000,employed,40,white,49,male,yes,15,english,yes,grad,yes,jan thru mar
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,jul thru sep
24000,employed,40,white,35,female,yes,20,english,yes,hs or lower,no,jul thru sep
32000,employed,40,white,33,female,yes,10,english,yes,college,no,jan thru mar
6300,not in labor force,25,white,69,female,yes,NA,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,jul thru sep
2000,not in labor force,10,white,20,male,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,other,11,male,yes,NA,other,no,hs or lower,no,oct thru dec
NA,NA,NA,white,1,female,yes,NA,NA,no,NA,no,jan thru mar
0,not in labor force,NA,white,84,male,yes,NA,english,yes,hs or lower,yes,oct thru dec
168000,employed,60,white,51,male,yes,30,english,yes,college,no,jul thru sep
4400,employed,20,black,18,male,yes,5,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,76,female,yes,NA,other,no,hs or lower,no,apr thru jun
10000,employed,18,white,36,female,yes,5,other,yes,hs or lower,no,apr thru jun
NA,NA,NA,white,14,male,yes,NA,english,no,hs or lower,no,oct thru dec
1500,not in labor force,16,white,18,female,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,10,female,yes,NA,english,no,hs or lower,no,oct thru dec
22800,employed,35,white,26,female,yes,15,english,no,college,no,jan thru mar
NA,NA,NA,asian,11,male,yes,NA,english,no,hs or lower,no,oct thru dec
34000,employed,40,other,60,female,no,10,english,no,hs or lower,no,apr thru jun
5000,employed,20,asian,21,male,yes,30,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,61,female,yes,NA,english,yes,hs or lower,no,oct thru dec
16800,employed,40,white,25,male,yes,30,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,50,male,yes,NA,english,no,hs or lower,yes,apr thru jun
0,not in labor force,NA,white,71,female,yes,NA,english,no,college,no,oct thru dec
850,employed,30,white,68,male,yes,NA,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,74,female,yes,NA,other,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,white,46,female,no,NA,other,yes,hs or lower,no,apr thru jun
25000,employed,40,white,47,male,yes,5,english,no,hs or lower,no,jul thru sep
9000,employed,40,white,52,female,yes,NA,english,yes,hs or lower,no,jul thru sep
143000,employed,35,white,37,female,yes,10,english,yes,grad,no,jul thru sep
20000,employed,40,white,27,male,yes,30,english,no,college,no,jul thru sep
45000,employed,36,white,60,female,yes,45,english,no,hs or lower,no,jan thru mar
600,employed,15,other,17,male,no,10,other,no,hs or lower,no,oct thru dec
23000,employed,40,black,49,female,yes,20,english,no,hs or lower,no,oct thru dec
45000,employed,30,white,45,male,no,2,other,yes,hs or lower,no,jul thru sep
NA,NA,NA,other,3,female,yes,NA,NA,no,hs or lower,yes,jan thru mar
0,not in labor force,NA,white,16,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,34,female,no,NA,english,yes,college,no,apr thru jun
43000,employed,70,white,53,male,yes,20,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,jul thru sep
37000,employed,37,white,55,male,yes,5,english,yes,hs or lower,no,oct thru dec
55000,employed,60,white,66,male,yes,50,english,yes,grad,no,jul thru sep
58000,employed,50,white,59,male,yes,45,english,yes,college,yes,jul thru sep
0,unemployed,NA,white,24,male,yes,NA,english,no,college,no,apr thru jun
0,not in labor force,NA,white,77,male,yes,NA,english,no,hs or lower,yes,apr thru jun
360000,employed,40,white,50,male,yes,5,english,yes,college,no,jan thru mar
127000,employed,40,other,32,female,yes,20,other,yes,grad,no,jan thru mar
197000,employed,50,white,41,male,yes,15,english,yes,college,no,apr thru jun
20000,employed,40,white,27,female,yes,10,english,no,hs or lower,no,jul thru sep
3000,not in labor force,40,white,63,female,yes,NA,english,no,hs or lower,no,jul thru sep
19600,employed,35,white,42,female,yes,5,english,no,college,no,apr thru jun
0,unemployed,NA,white,42,male,yes,NA,english,no,college,no,jan thru mar
0,not in labor force,NA,white,63,female,yes,NA,english,yes,grad,no,jul thru sep
24400,employed,38,white,66,female,yes,30,other,yes,hs or lower,no,apr thru jun
61000,employed,42,white,35,male,yes,15,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,6,female,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,9,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,62,female,yes,NA,english,no,hs or lower,no,apr thru jun
40000,employed,40,white,29,male,yes,60,english,yes,college,no,oct thru dec
0,not in labor force,NA,black,47,male,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,black,8,male,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,4,female,yes,NA,NA,no,hs or lower,no,oct thru dec
6400,employed,40,white,29,male,yes,15,other,no,hs or lower,no,jul thru sep
18000,employed,40,white,21,male,yes,10,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,16,male,yes,NA,other,no,hs or lower,no,oct thru dec
60000,employed,40,other,48,male,yes,45,english,yes,grad,no,jan thru mar
0,not in labor force,NA,white,77,male,yes,NA,english,yes,college,no,jan thru mar
15000,employed,40,white,25,female,yes,45,english,no,hs or lower,no,apr thru jun
0,unemployed,NA,black,35,male,yes,NA,english,yes,hs or lower,no,apr thru jun
31000,not in labor force,38,white,69,female,yes,NA,english,no,college,no,jul thru sep
155000,employed,45,white,48,male,yes,15,english,yes,college,no,apr thru jun
45000,employed,60,white,45,female,yes,15,english,no,hs or lower,no,jul thru sep
3000,employed,15,white,20,female,yes,10,english,no,hs or lower,no,jul thru sep
3000,employed,22,other,19,female,yes,20,english,no,hs or lower,no,apr thru jun
14400,employed,40,white,33,male,yes,20,english,no,hs or lower,no,jul thru sep
2700,not in labor force,25,other,37,female,no,NA,other,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,18,male,yes,NA,english,no,hs or lower,no,oct thru dec
23000,employed,40,asian,34,male,yes,50,other,yes,hs or lower,no,jan thru mar
90000,employed,50,asian,30,male,yes,45,other,no,grad,no,apr thru jun
0,not in labor force,NA,white,70,male,yes,NA,english,yes,grad,no,oct thru dec
0,not in labor force,NA,black,40,male,yes,NA,english,no,hs or lower,no,jan thru mar
16000,employed,40,black,42,female,yes,8,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,82,female,yes,NA,english,yes,hs or lower,yes,jan thru mar
100000,employed,40,white,40,male,yes,142,other,yes,college,no,jul thru sep
NA,NA,NA,white,8,female,yes,NA,english,no,hs or lower,no,oct thru dec
114000,employed,40,white,50,female,yes,25,other,yes,grad,no,jul thru sep
0,employed,30,white,55,female,yes,NA,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,16,female,yes,NA,english,no,hs or lower,no,jan thru mar
0,unemployed,NA,white,54,male,yes,NA,english,yes,hs or lower,yes,oct thru dec
60000,employed,40,white,39,male,yes,20,english,yes,grad,no,apr thru jun
323000,employed,45,white,43,female,yes,10,english,no,grad,no,oct thru dec
40000,employed,40,white,52,male,yes,40,english,yes,hs or lower,no,jul thru sep
NA,NA,NA,white,5,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,39,male,yes,NA,english,no,hs or lower,yes,jul thru sep
6000,employed,30,white,34,female,yes,12,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,81,male,yes,NA,english,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,other,67,male,yes,NA,english,yes,grad,no,jan thru mar
54000,employed,48,white,42,male,yes,25,english,yes,college,no,jan thru mar
85000,employed,40,white,42,female,yes,15,other,yes,grad,no,jan thru mar
1900,employed,25,white,37,female,yes,10,other,yes,college,no,oct thru dec
NA,NA,NA,white,8,female,yes,NA,other,no,hs or lower,no,oct thru dec
55000,employed,60,white,26,female,yes,20,other,no,college,no,apr thru jun
0,unemployed,NA,white,18,female,yes,NA,english,no,hs or lower,no,oct thru dec
1800,unemployed,8,white,22,female,yes,NA,english,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,white,73,male,yes,NA,english,yes,hs or lower,yes,apr thru jun
398000,employed,40,asian,51,male,yes,15,other,yes,grad,no,jul thru sep
104000,employed,50,white,33,male,yes,NA,english,no,college,no,apr thru jun
0,not in labor force,NA,white,43,male,yes,NA,other,yes,hs or lower,yes,jan thru mar
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,apr thru jun
35000,employed,40,white,43,male,yes,15,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,27,female,no,NA,other,yes,college,no,apr thru jun
52000,employed,48,white,61,male,yes,15,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,78,male,yes,NA,english,yes,hs or lower,no,jul thru sep
NA,NA,NA,white,4,male,yes,NA,NA,no,hs or lower,no,oct thru dec
38000,employed,45,white,68,female,yes,20,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,60,male,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,64,female,yes,NA,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,2,male,yes,NA,NA,no,NA,no,jan thru mar
33500,employed,40,white,29,male,yes,45,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,52,male,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,black,2,female,yes,NA,NA,no,NA,no,apr thru jun
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,61,female,yes,NA,english,no,hs or lower,yes,jul thru sep
0,employed,25,white,48,female,yes,NA,english,yes,college,no,jan thru mar
43000,employed,40,asian,47,female,yes,10,other,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,black,24,male,yes,NA,english,no,hs or lower,no,jul thru sep
333000,employed,50,white,37,male,yes,10,english,yes,grad,no,jan thru mar
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,jan thru mar
0,not in labor force,NA,white,65,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,18,female,yes,NA,english,no,hs or lower,no,jul thru sep
34700,employed,40,white,59,female,yes,30,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,4,male,yes,NA,NA,no,hs or lower,no,oct thru dec
NA,NA,NA,other,6,male,yes,NA,english,no,hs or lower,no,apr thru jun
270,not in labor force,20,black,48,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,39,female,no,NA,other,yes,hs or lower,no,oct thru dec
2000,employed,16,white,37,female,yes,NA,english,yes,grad,no,jan thru mar
15000,employed,25,white,36,female,yes,15,english,yes,hs or lower,no,apr thru jun
NA,NA,NA,asian,7,male,yes,NA,other,no,hs or lower,no,jan thru mar
40000,employed,40,white,51,male,yes,30,english,no,hs or lower,no,jan thru mar
0,employed,40,other,62,female,yes,10,other,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,29,female,yes,NA,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,63,female,yes,NA,english,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,black,64,male,yes,NA,english,yes,hs or lower,yes,jan thru mar
360000,employed,50,white,52,male,yes,40,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,76,male,yes,NA,english,yes,college,no,jul thru sep
89000,employed,55,white,43,male,yes,40,english,yes,hs or lower,no,jan thru mar
40000,employed,40,white,50,male,yes,3,english,no,college,no,jul thru sep
0,unemployed,NA,white,58,female,yes,NA,english,yes,hs or lower,yes,oct thru dec
0,not in labor force,NA,white,45,female,yes,NA,other,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,73,female,yes,NA,english,yes,hs or lower,yes,jan thru mar
14000,employed,13,white,53,female,yes,15,english,no,college,yes,oct thru dec
0,not in labor force,NA,black,63,female,yes,NA,english,yes,grad,no,jul thru sep
NA,NA,NA,white,14,male,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,other,68,male,no,NA,other,yes,hs or lower,no,jan thru mar
4200,employed,8,white,17,male,yes,8,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,76,female,yes,NA,english,yes,hs or lower,no,oct thru dec
8400,unemployed,28,white,21,female,yes,NA,english,yes,hs or lower,no,jul thru sep
29000,employed,36,white,65,male,yes,20,english,yes,college,yes,jul thru sep
0,not in labor force,NA,white,60,male,yes,NA,english,yes,hs or lower,no,jan thru mar
70000,employed,65,white,29,male,yes,20,other,yes,college,no,jul thru sep
NA,NA,NA,white,10,female,yes,NA,english,no,hs or lower,no,apr thru jun
40000,employed,40,white,56,male,yes,25,other,yes,college,no,oct thru dec
6000,employed,8,white,31,male,yes,5,english,yes,hs or lower,no,jul thru sep
65000,employed,40,white,63,male,yes,60,english,yes,college,yes,jan thru mar
NA,NA,NA,asian,7,male,yes,NA,other,no,hs or lower,no,jul thru sep
7500,employed,55,white,46,female,yes,5,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,54,male,yes,NA,other,no,hs or lower,yes,apr thru jun
NA,NA,NA,white,4,male,yes,NA,NA,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,16,male,yes,NA,english,no,hs or lower,yes,apr thru jun
340000,employed,40,asian,40,male,no,40,other,no,grad,no,oct thru dec
0,not in labor force,NA,white,64,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,16,female,yes,NA,english,no,hs or lower,no,apr thru jun
22000,unemployed,40,black,57,male,yes,NA,english,no,college,yes,apr thru jun
46000,employed,40,white,27,female,yes,25,english,yes,grad,no,jul thru sep
0,not in labor force,NA,other,52,female,yes,NA,other,no,college,yes,oct thru dec
0,employed,50,white,63,male,yes,45,english,yes,grad,no,jul thru sep
16000,unemployed,40,white,56,female,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,other,5,male,yes,NA,english,no,hs or lower,no,oct thru dec
39000,employed,35,white,63,female,yes,45,english,yes,college,no,jan thru mar
4000,employed,30,white,36,male,yes,30,english,no,college,no,oct thru dec
0,not in labor force,NA,white,73,female,yes,NA,english,no,hs or lower,no,jan thru mar
50000,employed,70,white,46,male,yes,148,english,yes,hs or lower,no,apr thru jun
NA,NA,NA,white,4,male,yes,NA,NA,no,hs or lower,no,oct thru dec
0,not in labor force,NA,black,75,male,yes,NA,english,no,hs or lower,yes,jul thru sep
0,not in labor force,NA,white,67,male,yes,NA,english,yes,hs or lower,no,jul thru sep
17000,employed,40,white,19,male,yes,15,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,6,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,asian,19,female,no,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,44,male,yes,NA,english,no,hs or lower,yes,jul thru sep
NA,NA,NA,white,14,male,yes,NA,other,no,hs or lower,no,jan thru mar
2000,not in labor force,84,white,55,female,yes,NA,english,yes,college,yes,apr thru jun
0,not in labor force,NA,white,94,female,yes,NA,english,no,hs or lower,yes,apr thru jun
24000,employed,40,other,51,male,yes,4,english,yes,hs or lower,no,oct thru dec
85000,employed,40,white,51,female,yes,15,english,yes,college,no,apr thru jun
NA,NA,NA,other,7,male,yes,NA,english,no,hs or lower,no,apr thru jun
124000,employed,46,white,48,male,yes,20,english,no,grad,no,jan thru mar
34000,employed,50,white,40,male,yes,35,english,no,college,no,jan thru mar
42000,employed,40,other,33,male,yes,20,english,no,hs or lower,no,apr thru jun
NA,NA,NA,black,7,female,yes,NA,english,no,hs or lower,no,jul thru sep
60000,employed,40,white,46,male,yes,25,english,yes,hs or lower,no,jul thru sep
0,unemployed,NA,white,20,female,yes,NA,english,no,hs or lower,no,jul thru sep
50000,employed,40,white,31,female,yes,30,english,yes,college,no,jul thru sep
NA,NA,NA,white,8,female,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,12,male,yes,NA,english,no,hs or lower,no,jan thru mar
19200,employed,50,other,23,male,no,30,other,no,hs or lower,no,jul thru sep
27000,employed,40,asian,35,male,yes,30,other,yes,hs or lower,no,jul thru sep
25000,employed,40,white,47,female,yes,45,english,yes,hs or lower,no,oct thru dec
NA,NA,NA,white,13,male,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,14,male,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,white,6,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,19,female,yes,NA,english,no,hs or lower,no,jan thru mar
19600,employed,18,white,59,female,yes,10,english,no,college,no,oct thru dec
12000,employed,30,white,55,female,yes,25,english,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,black,42,male,yes,NA,english,no,hs or lower,yes,jan thru mar
100000,employed,40,white,61,male,yes,15,english,yes,grad,no,jan thru mar
48000,employed,40,white,28,female,yes,40,english,no,college,no,jul thru sep
NA,NA,NA,white,0,male,yes,NA,NA,no,NA,no,jan thru mar
19000,employed,37,white,31,female,yes,20,english,yes,hs or lower,no,oct thru dec
NA,NA,NA,white,13,female,yes,NA,english,no,hs or lower,yes,jul thru sep
25000,employed,45,white,61,male,yes,75,english,yes,hs or lower,yes,apr thru jun
35000,employed,40,white,40,female,yes,60,english,no,college,no,jan thru mar
30000,employed,40,white,38,male,yes,NA,english,no,hs or lower,no,apr thru jun
175000,employed,65,white,43,male,yes,35,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,black,66,female,yes,NA,english,yes,hs or lower,no,jul thru sep
0,employed,52,white,55,female,yes,15,english,yes,college,no,apr thru jun
NA,NA,NA,other,1,male,yes,NA,NA,no,NA,no,apr thru jun
4200,not in labor force,40,white,21,female,yes,NA,other,no,hs or lower,no,jan thru mar
40000,unemployed,50,white,52,female,yes,NA,english,no,college,no,jul thru sep
